		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2047.984375	M = 1048576	N = 8	m = 9	n = 8388608
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2032 1990 2062 2145 1941 2022 2117 2015 15.756630 0.045999 SUCCESS   0
000000011 2071 2012 2057 2107 1960 2061 2113 2045  8.856219 0.354570 SUCCESS   1
000000101 1967 2005 2170 1986 2024 2054 2016 2040 14.562722 0.068227 SUCCESS   2
000000111 2073 2001 2033 2034 2002 2063 2075 2002  4.261538 0.832789 SUCCESS   3
000001001 1997 2021 2062 2044 2009 1958 1973 2086 10.214490 0.250293 SUCCESS   4
000001011 2050 2066 2145 2083 1977 2086 1961 2037 12.695787 0.122754 SUCCESS   5
000001101 2098 2080 2031 2082 2034 2022 2081 2042  3.519540 0.897668 SUCCESS   6
000001111 2081 1980 2055 2054 2035 2111 2063 2004  6.109581 0.634959 SUCCESS   7
000010001 2012 2022 1973 2096 1981 2043 2053 2049  7.290989 0.505587 SUCCESS   8
000010011 1948 2030 2105 2000 2007 1960 1993 2100 15.668420 0.047380 SUCCESS   9
000010101 2101 2057 2087 1985 2026 2052 2104 2108  7.889016 0.444386 SUCCESS  10
000010111 2009 2049 2044 2045 2060 2111 2000 2019  4.446229 0.814788 SUCCESS  11
000011001 2013 2044 2049 2085 2071 2052 1970 2018  5.119919 0.744686 SUCCESS  12
000011011 2099 2007 1982 2029 2025 2011 2027 2028  5.925506 0.655576 SUCCESS  13
000011101 2055 2025 1988 2011 2022 2054 2094 2082  4.812801 0.777384 SUCCESS  14
000011111 2107 2047 2061 2093 2041 2070 2055 2031  3.308476 0.913535 SUCCESS  15
000100011 2059 1990 2022 2020 1996 2004 2077 1988  7.080241 0.528001 SUCCESS  16
000100101 2095 1997 2023 2039 2051 2008 2048 2147  8.548865 0.381769 SUCCESS  17
000100111 1958 2010 2072 2072 2061 2017 1991 2060  7.684108 0.464920 SUCCESS  18
000101001 2044 2037 1988 2062 2003 2053 2046 2062  3.121324 0.926515 SUCCESS  19
000101011 2068 1945 2056 1970 2001 2067 2079 2113 12.580983 0.127103 SUCCESS  20
000101101 2037 2041 2171 2063 2072 2072 2042 2038  8.493309 0.386822 SUCCESS  21
000101111 1962 2086 2075 2078 2036 2104 2016 2056  7.493893 0.484399 SUCCESS  22
000110011 2032 2029 2045 2021 2039 1956 1945 2081 10.904357 0.207178 SUCCESS  23
000110101 2062 2041 2089 2032 2045 2088 2028 1997  3.430272 0.904533 SUCCESS  24
000110111 2068 2063 2018 2109 2088 2071 2030 1987  5.768467 0.673149 SUCCESS  25
000111001 2094 2047 2062 1975 2077 1998 2028 2023  6.063385 0.640132 SUCCESS  26
000111011 2077 2044 1968 1993 2056 2170 2085 2049 13.435260 0.097725 SUCCESS  27
000111101 1956 1985 2030 2049 2005 2023 2056 1981  9.987706 0.265890 SUCCESS  28
000111111 2030 2077 2078 2074 2106 2039 2068 2019  3.752700 0.878718 SUCCESS  29
001000011 2052 2000 1959 2071 2078 1991 2005 2014  9.049149 0.338167 SUCCESS  30
001000101 2043 2034 2000 2022 2032 2030 2047 2022  2.249086 0.972407 SUCCESS  31
001000111 2016 2015 2025 2019 2078 1998 2084 1996  5.494051 0.703699 SUCCESS  32
001001011 2043 2013 2072 2082 2007 2048 2017 2099  4.153994 0.842969 SUCCESS  33
001001101 2051 2022 2063 2067 2035 2017 2038 2082  1.846829 0.985353 SUCCESS  34
001001111 2024 2100 2053 2098 2035 2028 1970 2038  6.341825 0.609001 SUCCESS  35
001010011 2020 2086 2056 2047 2010 2048 2084 2079  3.028000 0.932588 SUCCESS  36
001010101 2048 2082 1995 1955 2014 2063 2090 1989  9.714837 0.285614 SUCCESS  37
001010111 2075 2020 2057 2067 2011 1978 2043 2092  5.143293 0.742157 SUCCESS  38
001011011 2034 2084 2184 2033 2031 2080 2020 2051 11.274322 0.186635 SUCCESS  39
001011101 2054 2019 1974 2052 2088 2044 2065 1991  5.818167 0.667591 SUCCESS  40
001011111 2010 2083 2110 2041 2107 2175 2121 1990 17.612580 0.024326 SUCCESS  41
001100101 2036 2069 2040 2057 2028 2010 2046 2069  1.524291 0.992297 SUCCESS  42
001100111 2029 2016 2063 1998 2059 2039 2029 2056  2.390926 0.966623 SUCCESS  43
001101011 2017 2041 2130 1986 1938 2067 2012 1982 14.992125 0.059299 SUCCESS  44
001101101 2126 2045 2023 2042 2034 1984 2017 2078  6.518135 0.589397 SUCCESS  45
001101111 1974 2125 2033 2115 2093 2100 2059 2042 10.611065 0.224725 SUCCESS  46
001110101 1974 2046 2034 2060 2074 2036 2069 2114  5.776627 0.672237 SUCCESS  47
001110111 2102 2095 1991 2060 2068 2140 2004 2034  9.857293 0.275185 SUCCESS  48
001111011 2006 2084 2059 1995 2061 2093 2033 1992  5.829846 0.666285 SUCCESS  49
001111101 2095 2031 2055 2073 2098 2054 2063 2040  3.030762 0.932412 SUCCESS  50
001111111 2118 2106 2000 2113 2096 2025 2029 2053  9.099433 0.333978 SUCCESS  51
010000011 2043 2043 2055 2077 2080 2019 2104 2090  3.893420 0.866609 SUCCESS  52
010000111 2037 2025 2000 2059 2094 2058 2073 1999  4.199891 0.838653 SUCCESS  53
010001011 1960 2006 2075 2038 2125 2096 2107 1941 16.918625 0.030968 SUCCESS  54
010001111 1990 2095 2081 2062 2061 1978 1999 2010  7.963953 0.436999 SUCCESS  55
010010011 2082 2121 2059 2085 2109 2079 2033 1983  8.642536 0.373342 SUCCESS  56
010010111 2058 2058 2028 2094 2068 2071 2092 2074  3.162611 0.923742 SUCCESS  57
010011011 2080 2016 2083 2091 1991 2013 2028 2113  7.182813 0.517043 SUCCESS  58
010011111 2057 2076 2025 2060 2062 2022 2021 2035  1.670298 0.989507 SUCCESS  59
010100011 2028 2037 2087 2057 1992 1987 2085 2035  5.310923 0.723886 SUCCESS  60
010100111 2025 2056 2052 2049 2020 2113 2117 2066  5.407861 0.713225 SUCCESS  61
010101011 2036 2089 1976 2024 2087 2063 2018 2083  5.785733 0.671219 SUCCESS  62
010101111 2080 2043 2039 2085 2014 1969 2032 2116  7.462533 0.487647 SUCCESS  63
010110011 2087 2108 2060 2116 2075 2019 2001 2085  7.597081 0.473783 SUCCESS  64
010110111 2068 2080 2109 2053 2004 2078 2051 2100  5.416147 0.712311 SUCCESS  65
010111011 2115 2046 1985 2010 2001 1995 2028 1997  9.049764 0.338115 SUCCESS  66
010111111 1961 2043 2091 2102 2117 2049 2048 2032  8.777195 0.361439 SUCCESS  67
011000111 2056 2033 2126 2082 2098 2082 2059 1978  8.186901 0.415429 SUCCESS  68
011001111 2084 2043 2050 2027 2120 2056 2070 2107  5.547681 0.697752 SUCCESS  69
